scenario,setting,exec_time,transmit_time,compute_time,gather_time
large files 1 large patterns,no mpi,8.43,0.06,8.37,0.00
large files 1 large patterns,no mpi no omp no gpu,10.69,0.05,10.64,0.00
large files 1 large patterns,pattern parallel,1.93,0.00,1.93,0.00
large files 1 large patterns,pattern distributed,1.94,0.00,1.93,0.00
large files 1 large patterns,no omp no gpu,2.02,0.00,2.02,0.00
large files 1 large patterns,only omp,1.98,0.00,1.97,0.00
large files 1 large patterns,only gpu,2.54,0.01,2.53,0.00
large files 100 small patterns,no mpi,8.44,0.05,8.38,0.01
large files 100 small patterns,no mpi no omp no gpu,11.19,0.05,11.14,0.00
large files 100 small patterns,pattern parallel,2.05,0.00,2.05,0.00
large files 100 small patterns,pattern distributed,2.12,0.05,2.07,0.00
large files 100 small patterns,no omp no gpu,2.11,0.05,2.06,0.00
large files 100 small patterns,only omp,2.09,0.05,2.04,0.00
large files 100 small patterns,only gpu,1.76,0.06,1.70,0.00
small files 10 large patterns,no mpi,8.24,0.05,8.19,0.00
small files 10 large patterns,no mpi no omp no gpu,11.20,0.05,11.15,0.00
small files 10 large patterns,pattern parallel,2.56,0.00,2.55,0.00
small files 10 large patterns,pattern distributed,2.03,0.01,2.02,0.00
small files 10 large patterns,no omp no gpu,2.06,0.00,2.05,0.00
small files 10 large patterns,only omp,2.09,0.00,2.08,0.00
small files 10 large patterns,only gpu,1.86,0.01,1.85,0.00
small files 1000 small patterns,no mpi,7.65,0.06,7.57,0.02
small files 1000 small patterns,no mpi no omp no gpu,10.88,0.05,10.82,0.02
small files 1000 small patterns,pattern parallel,3.27,0.00,3.25,0.02
small files 1000 small patterns,pattern distributed,2.12,0.05,2.02,0.05
small files 1000 small patterns,no omp no gpu,2.02,0.05,1.96,0.02
small files 1000 small patterns,only omp,2.28,0.06,2.18,0.03
small files 1000 small patterns,only gpu,1.85,0.05,1.78,0.02
