distributed,ndata,npatterns,mean_time,std_time
0,1000000,1,0.286526,0.004350135308240416
0,500000,2,0.2721114,0.008571734307594933
0,250000,4,0.25866059999999996,0.004780373859856575
0,125000,8,0.25453580000000003,0.007458384473865625
0,62500,16,0.2560458,0.009100901414695146
0,31250,32,0.2583158,0.005118727748181194
0,15625,64,0.26048299999999996,0.005873214418016763
0,7812,128,0.2608048,0.0053903448275597465
0,3906,256,0.28137480000000004,0.015030642067456738
0,1953,512,0.3036804,0.011922521068968597
0,976,1024,0.35572940000000003,0.00812278564533129
0,488,2049,0.458957,0.008747425861360594
0,244,4098,0.6352836000000001,0.012151405229025978
0,122,8196,1.0090937999999998,0.011468013906514044
1,1000000,1,0.2895206,0.007324547811298654
1,500000,2,0.2829644,0.0036699443919492813
1,250000,4,0.281803,0.009068039413235921
1,125000,8,0.2803276,0.007688809182181601
1,62500,16,0.2846966,0.0054053461905783536
1,31250,32,0.2747758,0.01219217912269993
1,15625,64,0.25514020000000004,0.005590279685310929
1,7812,128,0.2635262,0.006478183029214305
1,3906,256,0.2699302,0.00903705054539366
1,1953,512,0.2706686,0.0045847278915983605
1,976,1024,0.27248340000000004,0.003050572247956119
1,488,2049,0.27318640000000005,0.0071119098306994975
1,244,4098,0.2911442,0.005783073003170545
1,122,8196,0.3225326,0.009387998223263581
