distributed,ndata,npatterns,mean_time,std_time
0,1000000,1,0.45711440000000003,0.0057456733147647765
0,500000,2,0.448095,0.009472812422929118
0,250000,4,0.4397902,0.006243098378209334
0,125000,8,0.43349000000000004,0.004037220231793156
0,62500,16,0.4405152,0.005304567518657865
0,31250,32,0.4348898,0.0064679028873352844
0,15625,64,0.4326594,0.0037562011980190988
0,7812,128,0.4518102,0.016995261767916374
0,3906,256,0.4375839999999999,0.00863276687974372
0,1953,512,0.4460978,0.004512880206697276
0,976,1024,0.46451020000000004,0.006431635854119845
0,488,2049,0.494777,0.014284827685345027
0,244,4098,0.5590384,0.008793286361764907
0,122,8196,0.6745182,0.02286456496327886
1,1000000,1,0.45658580000000004,0.0031707646017955903
1,500000,2,0.46155619999999997,0.007222452336983609
1,250000,4,0.45945,0.003624473754905684
1,125000,8,0.4483887999999999,0.008930965578256359
1,62500,16,0.4513776,0.012100721277675973
1,31250,32,0.43476,0.00431186173247705
1,15625,64,0.4420836,0.005784650779433446
1,7812,128,0.441615,0.009240751008440818
1,3906,256,0.43700320000000004,0.0066161323868254044
1,1953,512,0.43033420000000006,0.004728234824963761
1,976,1024,0.43014300000000005,0.005063651725780525
1,488,2049,0.44088279999999996,0.008821577464376755
1,244,4098,0.4474544,0.006541659196259007
1,122,8196,0.45653240000000006,0.008159632040723406
