scenario,percentage_gpu,mean_time,std_time
large files 1 large patterns,0,0.43,0.03
large files 1 large patterns,5,0.45,0.01
large files 1 large patterns,10,0.46,0.01
large files 1 large patterns,15,0.45,0.01
large files 1 large patterns,20,0.45,0.01
large files 1 large patterns,25,0.45,0.00
large files 1 large patterns,30,0.45,0.01
large files 1 large patterns,35,0.44,0.01
large files 1 large patterns,40,0.44,0.02
large files 1 large patterns,45,0.45,0.01
large files 1 large patterns,50,0.44,0.00
large files 1 large patterns,55,0.43,0.01
large files 1 large patterns,60,0.43,0.00
large files 1 large patterns,65,0.44,0.01
large files 1 large patterns,70,0.44,0.02
large files 1 large patterns,75,0.45,0.01
large files 1 large patterns,80,0.46,0.01
large files 1 large patterns,85,0.44,0.01
large files 1 large patterns,90,0.42,0.01
large files 1 large patterns,95,0.42,0.01
large files 1 large patterns,100,0.42,0.01
large files 100 small patterns,0,0.47,0.01
large files 100 small patterns,5,0.46,0.00
large files 100 small patterns,10,0.47,0.01
large files 100 small patterns,15,0.46,0.01
large files 100 small patterns,20,0.46,0.00
large files 100 small patterns,25,0.46,0.01
large files 100 small patterns,30,0.45,0.00
large files 100 small patterns,35,0.45,0.01
large files 100 small patterns,40,0.44,0.01
large files 100 small patterns,45,0.45,0.01
large files 100 small patterns,50,0.44,0.00
large files 100 small patterns,55,0.43,0.01
large files 100 small patterns,60,0.44,0.01
large files 100 small patterns,65,0.43,0.01
large files 100 small patterns,70,0.44,0.01
large files 100 small patterns,75,0.44,0.00
large files 100 small patterns,80,0.43,0.01
large files 100 small patterns,85,0.42,0.01
large files 100 small patterns,90,0.43,0.01
large files 100 small patterns,95,0.42,0.01
large files 100 small patterns,100,0.41,0.00
small files 10 large patterns,0,0.45,0.01
small files 10 large patterns,5,0.45,0.01
small files 10 large patterns,10,0.45,0.01
small files 10 large patterns,15,0.45,0.01
small files 10 large patterns,20,0.44,0.00
small files 10 large patterns,25,0.46,0.01
small files 10 large patterns,30,0.44,0.01
small files 10 large patterns,35,0.44,0.01
small files 10 large patterns,40,0.44,0.01
small files 10 large patterns,45,0.45,0.01
small files 10 large patterns,50,0.43,0.01
small files 10 large patterns,55,0.46,0.04
small files 10 large patterns,60,0.42,0.01
small files 10 large patterns,65,0.45,0.05
small files 10 large patterns,70,0.43,0.01
small files 10 large patterns,75,0.44,0.01
small files 10 large patterns,80,0.44,0.01
small files 10 large patterns,85,0.44,0.01
small files 10 large patterns,90,0.42,0.04
small files 10 large patterns,95,0.43,0.05
small files 10 large patterns,100,0.42,0.02
small files 1000 small patterns,0,0.42,0.07
small files 1000 small patterns,5,0.39,0.07
small files 1000 small patterns,10,0.45,0.01
small files 1000 small patterns,15,0.41,0.07
small files 1000 small patterns,20,0.44,0.01
small files 1000 small patterns,25,0.43,0.08
small files 1000 small patterns,30,0.37,0.09
small files 1000 small patterns,35,0.46,0.03
small files 1000 small patterns,40,0.45,0.01
small files 1000 small patterns,45,0.43,0.01
small files 1000 small patterns,50,0.48,0.04
small files 1000 small patterns,55,0.43,0.02
small files 1000 small patterns,60,0.43,0.02
small files 1000 small patterns,65,0.34,0.07
small files 1000 small patterns,70,0.43,0.02
small files 1000 small patterns,75,0.43,0.01
small files 1000 small patterns,80,0.42,0.01
small files 1000 small patterns,85,0.43,0.01
small files 1000 small patterns,90,0.41,0.01
small files 1000 small patterns,95,0.43,0.02
small files 1000 small patterns,100,0.41,0.01
