scenario,nodes,mean_time,std_time
large files 1 large patterns,1,0.19732219999999998,0.0031600497084697896
large files 1 large patterns,2,0.3349148,0.014567838074333475
large files 1 large patterns,4,0.40535819999999995,0.00752723634277548
large files 1 large patterns,8,0.41589960000000004,0.014775010613870977
large files 1 large patterns,16,0.4288494,0.019303703972036033
large files 1 large patterns,32,0.4271168,0.012099102270829849
large files 1 large patterns,64,0.5612562000000001,0.23078009223709048
large files 100 small patterns,1,0.1923408,0.012310216105333003
large files 100 small patterns,2,0.3471618,0.004817814749448138
large files 100 small patterns,4,0.4202328000000001,0.017942152116176033
large files 100 small patterns,8,0.418088,0.01466802602942878
large files 100 small patterns,16,0.42871059999999994,0.01567387797068741
large files 100 small patterns,32,0.39016579999999995,0.02778962747069489
large files 100 small patterns,64,0.5714534,0.25866093518473177
small files 10 large patterns,1,0.19345020000000002,0.00923523235008194
small files 10 large patterns,2,0.360279,0.007927712885820214
small files 10 large patterns,4,0.41120419999999996,0.007574758382945311
small files 10 large patterns,8,0.4357362,0.03043960975045508
small files 10 large patterns,16,0.500642,0.008140306284164017
small files 10 large patterns,32,0.4328492,0.023908230945847903
small files 10 large patterns,64,0.5523046,0.22574350366962948
small files 1000 small patterns,1,0.20228840000000003,0.00596016609164544
small files 1000 small patterns,2,0.35319439999999996,0.007496226213235563
small files 1000 small patterns,4,0.429192,0.009354672051974882
small files 1000 small patterns,8,0.38320499999999996,0.06048395763175555
small files 1000 small patterns,16,0.419099,0.013332611132107621
small files 1000 small patterns,32,0.4491174,0.047506230423387606
small files 1000 small patterns,64,0.6591079999999999,0.1963694863017164
