scenario,thread_per_block,block_per_grid,mean_time,std_time
large files 1 large patterns,16,16,0.43,0.03
large files 1 large patterns,16,32,0.42,0.03
large files 1 large patterns,16,64,0.41,0.02
large files 1 large patterns,16,128,0.40,0.01
large files 1 large patterns,16,256,0.40,0.01
large files 1 large patterns,16,512,0.41,0.01
large files 1 large patterns,16,1024,0.40,0.01
large files 1 large patterns,16,2048,0.40,0.01
large files 1 large patterns,16,4096,0.40,0.01
large files 1 large patterns,16,8192,0.40,0.01
large files 1 large patterns,16,16384,0.40,0.01
large files 1 large patterns,16,32768,0.41,0.02
large files 1 large patterns,16,65536,0.40,0.01
large files 1 large patterns,32,16,0.41,0.01
large files 1 large patterns,32,32,0.39,0.01
large files 1 large patterns,32,64,0.41,0.01
large files 1 large patterns,32,128,0.40,0.01
large files 1 large patterns,32,256,0.40,0.01
large files 1 large patterns,32,512,0.40,0.01
large files 1 large patterns,32,1024,0.40,0.01
large files 1 large patterns,32,2048,0.41,0.01
large files 1 large patterns,32,4096,0.42,0.01
large files 1 large patterns,32,8192,0.41,0.01
large files 1 large patterns,32,16384,0.40,0.01
large files 1 large patterns,32,32768,0.41,0.01
large files 1 large patterns,32,65536,0.41,0.01
large files 1 large patterns,64,16,0.41,0.01
large files 1 large patterns,64,32,0.41,0.01
large files 1 large patterns,64,64,0.40,0.01
large files 1 large patterns,64,128,0.39,0.01
large files 1 large patterns,64,256,0.41,0.01
large files 1 large patterns,64,512,0.41,0.01
large files 1 large patterns,64,1024,0.39,0.01
large files 1 large patterns,64,2048,0.40,0.01
large files 1 large patterns,64,4096,0.41,0.01
large files 1 large patterns,64,8192,0.42,0.01
large files 1 large patterns,64,16384,0.41,0.01
large files 1 large patterns,64,32768,0.40,0.01
large files 1 large patterns,64,65536,0.40,0.01
large files 1 large patterns,128,16,0.40,0.01
large files 1 large patterns,128,32,0.40,0.02
large files 1 large patterns,128,64,0.41,0.01
large files 1 large patterns,128,128,0.41,0.01
large files 1 large patterns,128,256,0.40,0.01
large files 1 large patterns,128,512,0.40,0.01
large files 1 large patterns,128,1024,0.41,0.01
large files 1 large patterns,128,2048,0.44,0.06
large files 1 large patterns,128,4096,0.39,0.01
large files 1 large patterns,128,8192,0.41,0.02
large files 1 large patterns,128,16384,0.41,0.01
large files 1 large patterns,128,32768,0.42,0.02
large files 1 large patterns,128,65536,0.40,0.00
large files 1 large patterns,256,16,0.40,0.00
large files 1 large patterns,256,32,0.41,0.01
large files 1 large patterns,256,64,0.41,0.01
large files 1 large patterns,256,128,0.41,0.01
large files 1 large patterns,256,256,0.40,0.00
large files 1 large patterns,256,512,0.41,0.01
large files 1 large patterns,256,1024,0.40,0.02
large files 1 large patterns,256,2048,0.40,0.01
large files 1 large patterns,256,4096,0.41,0.01
large files 1 large patterns,256,8192,0.41,0.01
large files 1 large patterns,256,16384,0.41,0.01
large files 1 large patterns,256,32768,0.41,0.00
large files 1 large patterns,256,65536,0.40,0.02
large files 1 large patterns,512,16,0.41,0.01
large files 1 large patterns,512,32,0.41,0.01
large files 1 large patterns,512,64,0.41,0.01
large files 1 large patterns,512,128,0.40,0.01
large files 1 large patterns,512,256,0.40,0.01
large files 1 large patterns,512,512,0.40,0.01
large files 1 large patterns,512,1024,0.41,0.01
large files 1 large patterns,512,2048,0.40,0.01
large files 1 large patterns,512,4096,0.40,0.01
large files 1 large patterns,512,8192,0.41,0.01
large files 1 large patterns,512,16384,0.41,0.01
large files 1 large patterns,512,32768,0.40,0.02
large files 1 large patterns,512,65536,0.40,0.01
large files 1 large patterns,1024,16,0.40,0.01
large files 1 large patterns,1024,32,0.42,0.01
large files 1 large patterns,1024,64,0.43,0.02
large files 1 large patterns,1024,128,0.41,0.01
large files 1 large patterns,1024,256,0.41,0.01
large files 1 large patterns,1024,512,0.41,0.01
large files 1 large patterns,1024,1024,0.40,0.01
large files 1 large patterns,1024,2048,0.41,0.01
large files 1 large patterns,1024,4096,0.40,0.01
large files 1 large patterns,1024,8192,0.41,0.01
large files 1 large patterns,1024,16384,0.40,0.01
large files 1 large patterns,1024,32768,0.41,0.01
large files 1 large patterns,1024,65536,0.40,0.01
large files 1 large patterns,2048,16,0.40,0.01
large files 1 large patterns,2048,32,0.41,0.01
large files 1 large patterns,2048,64,0.40,0.02
large files 1 large patterns,2048,128,0.41,0.01
large files 1 large patterns,2048,256,0.40,0.01
large files 1 large patterns,2048,512,0.41,0.01
large files 1 large patterns,2048,1024,0.40,0.01
large files 1 large patterns,2048,2048,0.42,0.02
large files 1 large patterns,2048,4096,0.40,0.00
large files 1 large patterns,2048,8192,0.40,0.01
large files 1 large patterns,2048,16384,0.41,0.01
large files 1 large patterns,2048,32768,0.41,0.01
large files 1 large patterns,2048,65536,0.40,0.01
large files 100 small patterns,16,16,0.44,0.02
large files 100 small patterns,16,32,0.43,0.01
large files 100 small patterns,16,64,0.43,0.00
large files 100 small patterns,16,128,0.43,0.01
large files 100 small patterns,16,256,0.42,0.01
large files 100 small patterns,16,512,0.42,0.01
large files 100 small patterns,16,1024,0.42,0.01
