distributed,ndata,npatterns,mean_time,std_time
0,1000000,1,0.51,0.01
0,500000,2,0.52,0.04
0,250000,4,0.45,0.02
0,125000,8,0.42,0.00
0,62500,16,0.42,0.01
0,31250,32,0.42,0.01
0,15625,64,0.43,0.01
0,7812,128,0.44,0.01
0,3906,256,0.46,0.01
0,1953,512,0.51,0.02
0,976,1024,0.59,0.02
0,488,2049,0.74,0.01
0,244,4098,1.10,0.04
0,122,8196,1.79,0.01
1,1000000,1,0.41,0.01
1,500000,2,0.41,0.02
1,250000,4,0.42,0.01
1,125000,8,0.41,0.01
1,62500,16,0.41,0.01
1,31250,32,0.41,0.01
1,15625,64,0.43,0.01
1,7812,128,0.42,0.01
1,3906,256,0.43,0.01
1,1953,512,0.43,0.01
1,976,1024,0.44,0.01
1,488,2049,0.40,0.06
1,244,4098,0.43,0.01
1,122,8196,0.41,0.07
