distributed,ndata,npatterns,mean_time,std_time
0,1000000,1,0.46486839999999996,0.01302263260020799
0,500000,2,0.4829588,0.0371286629945114
0,250000,4,0.4599894,0.01087068179278558
0,125000,8,0.4478452,0.009884994879108424
0,62500,16,0.4527388,0.007315814141980365
0,31250,32,0.45549800000000007,0.009200559309085504
0,15625,64,0.4478134,0.009705483946717957
0,7812,128,0.468532,0.03242947788047163
0,3906,256,0.4724016,0.023608269166544186
0,1953,512,0.462816,0.006432915326661772
0,976,1024,0.499677,0.0044847593023483396
0,488,2049,0.5596922,0.009628664588612468
0,244,4098,0.6551950000000001,0.013471306588449377
0,122,8196,0.8538897999999999,0.009015642015963164
1,1000000,1,0.4689954,0.006774546083687082
1,500000,2,0.47293299999999994,0.015523779784575665
1,250000,4,0.47268419999999994,0.007651128816063684
1,125000,8,0.4576378,0.015159162567899322
1,62500,16,0.46650359999999996,0.005375516890495278
1,31250,32,0.4722354,0.012688636531952522
1,15625,64,0.47856640000000006,0.012022359329183276
1,7812,128,0.4557622,0.030440495156288116
1,3906,256,0.45243979999999995,0.008997800584587322
1,1953,512,0.4599836,0.010309293256086956
1,976,1024,0.4589598,0.014715920296060309
1,488,2049,0.3931854,0.08971995623628001
1,244,4098,0.47083820000000004,0.009011615868422279
1,122,8196,0.4356812,0.06854699812945861
