scenario,percentage_gpu,exec_time,transmit_time,compute_time,gather_time
large files 1 large patterns,0,2.31,0.00,2.30,0.00
large files 1 large patterns,5,2.26,0.00,2.25,0.00
large files 1 large patterns,10,1.94,0.00,1.94,0.00
large files 1 large patterns,15,1.95,0.00,1.95,0.00
large files 1 large patterns,20,2.39,0.00,2.39,0.00
large files 1 large patterns,25,2.38,0.00,2.38,0.00
large files 1 large patterns,30,2.02,0.00,2.02,0.00
large files 1 large patterns,35,1.90,0.00,1.89,0.00
large files 1 large patterns,40,1.89,0.00,1.88,0.00
large files 1 large patterns,45,1.86,0.00,1.85,0.00
large files 1 large patterns,50,1.91,0.00,1.90,0.00
large files 1 large patterns,55,1.93,0.00,1.92,0.00
large files 1 large patterns,60,1.85,0.00,1.84,0.00
large files 1 large patterns,65,1.86,0.00,1.86,0.00
large files 1 large patterns,70,1.88,0.00,1.87,0.00
large files 1 large patterns,75,1.85,0.00,1.85,0.00
large files 1 large patterns,80,2.27,0.00,2.27,0.00
large files 1 large patterns,85,2.48,0.00,2.47,0.00
large files 1 large patterns,90,1.88,0.00,1.88,0.00
large files 1 large patterns,95,1.82,0.00,1.81,0.00
large files 1 large patterns,100,1.78,0.00,1.78,0.00
large files 100 small patterns,0,1.98,0.05,1.93,0.00
large files 100 small patterns,5,2.02,0.05,1.96,0.00
large files 100 small patterns,10,2.15,0.04,2.10,0.00
large files 100 small patterns,15,1.99,0.05,1.93,0.00
large files 100 small patterns,20,1.98,0.05,1.93,0.00
large files 100 small patterns,25,2.10,0.05,2.04,0.00
large files 100 small patterns,30,2.04,0.05,1.99,0.00
large files 100 small patterns,35,2.43,0.08,2.33,0.01
large files 100 small patterns,40,2.63,0.06,2.57,0.00
large files 100 small patterns,45,2.02,0.04,1.97,0.00
large files 100 small patterns,50,1.91,0.05,1.85,0.00
large files 100 small patterns,55,1.89,0.07,1.81,0.00
large files 100 small patterns,60,2.00,0.08,1.92,0.00
large files 100 small patterns,65,1.91,0.05,1.85,0.00
large files 100 small patterns,70,1.87,0.05,1.81,0.00
large files 100 small patterns,75,1.88,0.05,1.83,0.00
large files 100 small patterns,80,1.87,0.06,1.80,0.00
large files 100 small patterns,85,1.86,0.04,1.81,0.00
large files 100 small patterns,90,1.86,0.05,1.80,0.00
large files 100 small patterns,95,2.06,0.05,2.00,0.01
large files 100 small patterns,100,2.09,0.04,2.05,0.00
small files 10 large patterns,0,2.06,0.00,2.06,0.00
small files 10 large patterns,5,2.00,0.00,2.00,0.00
small files 10 large patterns,10,1.99,0.00,1.98,0.00
small files 10 large patterns,15,1.95,0.00,1.94,0.00
small files 10 large patterns,20,1.97,0.00,1.97,0.00
small files 10 large patterns,25,1.95,0.00,1.94,0.00
small files 10 large patterns,30,1.94,0.00,1.93,0.00
small files 10 large patterns,35,2.10,0.01,2.09,0.00
small files 10 large patterns,40,1.91,0.00,1.90,0.00
small files 10 large patterns,45,1.94,0.00,1.93,0.01
small files 10 large patterns,50,2.20,0.00,2.19,0.00
small files 10 large patterns,55,2.15,0.00,2.14,0.00
small files 10 large patterns,60,2.10,0.00,2.09,0.00
small files 10 large patterns,65,1.87,0.00,1.86,0.00
small files 10 large patterns,70,1.85,0.00,1.84,0.00
small files 10 large patterns,75,1.88,0.00,1.88,0.00
small files 10 large patterns,80,1.82,0.00,1.81,0.00
small files 10 large patterns,85,1.83,0.00,1.82,0.00
small files 10 large patterns,90,1.82,0.00,1.81,0.00
small files 10 large patterns,95,1.79,0.00,1.79,0.00
small files 10 large patterns,100,1.81,0.00,1.81,0.00
small files 1000 small patterns,0,1.84,0.05,1.77,0.02
small files 1000 small patterns,5,2.02,0.06,1.94,0.02
small files 1000 small patterns,10,2.27,0.05,2.21,0.02
small files 1000 small patterns,15,1.82,0.05,1.76,0.02
small files 1000 small patterns,20,1.76,0.06,1.68,0.02
small files 1000 small patterns,25,1.92,0.06,1.85,0.02
small files 1000 small patterns,30,1.97,0.05,1.91,0.02
small files 1000 small patterns,35,1.78,0.05,1.72,0.02
small files 1000 small patterns,40,1.89,0.05,1.82,0.02
small files 1000 small patterns,45,1.91,0.05,1.85,0.02
small files 1000 small patterns,50,1.93,0.05,1.86,0.02
small files 1000 small patterns,55,1.95,0.05,1.88,0.02
small files 1000 small patterns,60,1.81,0.06,1.72,0.02
small files 1000 small patterns,65,2.28,0.08,2.18,0.02
small files 1000 small patterns,70,2.25,0.10,2.13,0.02
small files 1000 small patterns,75,2.06,0.06,1.98,0.02
small files 1000 small patterns,80,1.85,0.05,1.79,0.02
small files 1000 small patterns,85,1.85,0.06,1.78,0.02
small files 1000 small patterns,90,1.64,0.06,1.56,0.02
small files 1000 small patterns,95,1.70,0.05,1.63,0.02
small files 1000 small patterns,100,1.89,0.05,1.83,0.02
