scenario,percentage_gpu,mean_time,std_time
large files 1 large patterns,0,0.57,0.02
large files 1 large patterns,10,0.59,0.01
large files 1 large patterns,20,0.47,0.07
large files 1 large patterns,30,0.43,0.01
large files 1 large patterns,40,0.43,0.01
large files 1 large patterns,50,0.42,0.01
large files 1 large patterns,60,0.42,0.01
large files 1 large patterns,70,0.41,0.01
large files 1 large patterns,80,0.41,0.01
large files 1 large patterns,90,0.39,0.02
large files 1 large patterns,100,0.42,0.02
large files 100 small patterns,0,0.46,0.02
large files 100 small patterns,10,0.46,0.01
large files 100 small patterns,20,0.45,0.02
large files 100 small patterns,30,0.45,0.01
large files 100 small patterns,40,0.45,0.01
large files 100 small patterns,50,0.43,0.01
large files 100 small patterns,60,0.43,0.01
large files 100 small patterns,70,0.44,0.01
large files 100 small patterns,80,0.43,0.02
large files 100 small patterns,90,0.42,0.01
large files 100 small patterns,100,0.41,0.01
small files 10 large patterns,0,0.44,0.01
small files 10 large patterns,10,0.44,0.03
small files 10 large patterns,20,0.47,0.06
small files 10 large patterns,30,0.43,0.01
small files 10 large patterns,40,0.46,0.05
small files 10 large patterns,50,0.43,0.01
small files 10 large patterns,60,0.45,0.05
small files 10 large patterns,70,0.42,0.02
small files 10 large patterns,80,0.44,0.05
small files 10 large patterns,90,0.43,0.05
small files 10 large patterns,100,0.42,0.01
small files 1000 small patterns,0,0.46,0.01
small files 1000 small patterns,10,0.46,0.01
small files 1000 small patterns,20,0.46,0.01
small files 1000 small patterns,30,0.43,0.01
small files 1000 small patterns,40,0.45,0.02
small files 1000 small patterns,50,0.52,0.01
small files 1000 small patterns,60,0.51,0.00
small files 1000 small patterns,70,0.51,0.01
small files 1000 small patterns,80,0.42,0.01
small files 1000 small patterns,90,0.39,0.07
small files 1000 small patterns,100,0.41,0.01
