scenario,setting,exec_time,transmit_time,compute_time,gather_time,nb_nodes
large files 1 large patterns,only mpi,2.41,0.00,2.41,0.00,1
large files 1 large patterns,only mpi,2.49,0.00,2.49,0.00,2
large files 1 large patterns,only mpi,2.49,0.00,2.49,0.00,3
large files 1 large patterns,only mpi,1.85,0.00,1.84,0.00,19
large files 1 large patterns,only mpi,1.81,0.01,1.80,0.00,20
large files 1 large patterns,only mpi,1.63,0.01,1.62,0.00,21
large files 1 large patterns,only mpi,1.56,0.00,1.55,0.00,22
large files 1 large patterns,only mpi,1.48,0.01,1.47,0.00,23
large files 1 large patterns,only mpi,1.44,0.00,1.43,0.00,24
large files 1 large patterns,only mpi,1.85,0.01,1.85,0.00,25
large files 1 large patterns,only mpi,1.73,0.00,1.72,0.00,26
large files 1 large patterns,only mpi,1.80,0.01,1.79,0.00,27
large files 1 large patterns,only mpi,1.66,0.01,1.65,0.00,28
large files 1 large patterns,only mpi,1.72,0.01,1.71,0.00,29
large files 1 large patterns,only mpi,1.81,0.00,1.81,0.00,30
large files 1 large patterns,only mpi,1.70,0.01,1.69,0.00,31
large files 1 large patterns,only mpi,1.60,0.01,1.59,0.00,32
large files 1 large patterns,only mpi,1.60,0.01,1.59,0.01,33
large files 1 large patterns,only mpi,1.58,0.01,1.57,0.00,34
large files 1 large patterns,only mpi,1.53,0.01,1.52,0.00,35
large files 1 large patterns,only mpi,1.51,0.01,1.50,0.00,36
large files 1 large patterns,only mpi,1.45,0.01,1.44,0.00,37
large files 1 large patterns,only mpi,1.50,0.01,1.48,0.00,38
large files 1 large patterns,only mpi,1.43,0.01,1.42,0.00,39
large files 1 large patterns,only mpi,1.37,0.01,1.35,0.00,40
large files 1 large patterns,only mpi,1.31,0.01,1.29,0.01,41
large files 1 large patterns,only mpi,1.40,0.01,1.39,0.00,42
large files 1 large patterns,only mpi,1.42,0.01,1.41,0.00,43
large files 1 large patterns,only mpi,1.39,0.01,1.37,0.00,44
large files 1 large patterns,only mpi,1.39,0.01,1.37,0.00,45
large files 1 large patterns,only mpi,1.36,0.01,1.35,0.00,46
large files 1 large patterns,only mpi,1.39,0.01,1.38,0.01,47
large files 1 large patterns,only mpi,1.30,0.01,1.29,0.00,48
large files 1 large patterns,only mpi,1.39,0.01,1.38,0.00,49
large files 1 large patterns,only mpi,1.25,0.01,1.24,0.00,50
large files 1 large patterns,only mpi,1.33,0.01,1.32,0.00,51
large files 1 large patterns,only mpi,1.36,0.01,1.34,0.00,52
large files 1 large patterns,only mpi,1.29,0.01,1.27,0.00,53
large files 1 large patterns,only mpi,1.36,0.01,1.35,0.00,54
large files 1 large patterns,only mpi,1.31,0.01,1.30,0.00,55
large files 1 large patterns,only mpi,0.98,0.01,0.97,0.00,56
large files 1 large patterns,only mpi,1.34,0.01,1.32,0.00,57
large files 1 large patterns,only mpi,1.33,0.01,1.31,0.00,58
large files 1 large patterns,only mpi,1.20,0.01,1.18,0.00,59
large files 1 large patterns,only mpi,1.26,0.01,1.24,0.00,60
large files 1 large patterns,only mpi,1.26,0.01,1.24,0.00,61
large files 1 large patterns,only mpi,1.26,0.01,1.24,0.00,62
large files 1 large patterns,only mpi,1.33,0.01,1.32,0.00,63
large files 1 large patterns,only mpi,1.19,0.01,1.18,0.00,64
large files 100 small patterns,only mpi,2.30,0.00,2.30,0.00,1
large files 100 small patterns,only mpi,2.37,0.00,2.36,0.00,2
large files 100 small patterns,only mpi,2.42,0.00,2.41,0.00,3
small files 1000 small patterns,only mpi,2.54,0.00,2.54,0.00,1
small files 1000 small patterns,only mpi,3.48,0.00,3.46,0.01,6
small files 1000 small patterns,only mpi,1.58,0.00,1.56,0.02,7
small files 1000 small patterns,only mpi,2.69,0.00,2.68,0.01,8
small files 1000 small patterns,only mpi,2.56,0.00,2.54,0.01,9
small files 1000 small patterns,only mpi,2.46,0.00,2.44,0.01,10
small files 1000 small patterns,only mpi,2.30,0.00,2.28,0.01,11
large files 100 small patterns,only mpi,2.34,0.01,2.33,0.00,10
large files 100 small patterns,only mpi,2.20,0.00,2.20,0.00,11
large files 100 small patterns,only mpi,2.17,0.01,2.16,0.01,12
large files 100 small patterns,only mpi,1.96,0.01,1.95,0.00,13
small files 1000 small patterns,only mpi,2.53,0.00,2.53,0.00,1
