ndata,n_pattern,l_pattern,distributed_pattern,exec_time,transmit_time,compute_time,gather_time
1000,21,10,pattern distributed,2.09,0.00,2.08,0.00
1000,21,100,pattern distributed,2.27,0.00,2.27,0.00
1000,31,10,pattern distributed,1.87,0.01,1.86,0.00
1000,31,100,pattern distributed,2.42,0.01,2.42,0.00
1000,41,10,pattern distributed,1.99,0.01,1.98,0.00
1000,41,100,pattern distributed,3.13,0.01,3.12,0.00
1000,51,10,pattern distributed,1.98,0.01,1.97,0.00
1000,51,100,pattern distributed,3.11,0.01,3.10,0.00
1000,61,10,pattern distributed,1.65,0.05,1.59,0.00
1000,61,100,pattern distributed,2.94,0.04,2.89,0.00
1000,71,10,pattern distributed,1.71,0.05,1.66,0.00
1000,71,100,pattern distributed,3.82,0.05,3.77,0.00
1000,81,10,pattern distributed,1.67,0.04,1.63,0.00
1000,81,100,pattern distributed,4.35,0.04,4.31,0.00
1000,91,10,pattern distributed,1.79,0.05,1.73,0.00
1000,101,10,pattern distributed,1.67,0.05,1.61,0.00
1000,101,100,pattern distributed,4.70,0.05,4.64,0.00
1000,111,10,pattern distributed,1.80,0.05,1.75,0.00
1000,111,100,pattern distributed,4.30,0.05,4.25,0.00
1000,121,10,pattern distributed,1.70,0.06,1.64,0.01
1000,131,10,pattern distributed,1.57,0.05,1.51,0.01
1000,131,100,pattern distributed,5.08,0.07,5.00,0.00
1000,141,10,pattern distributed,1.71,0.06,1.65,0.00
1000,151,10,pattern distributed,1.77,0.06,1.71,0.00
1000,151,100,pattern distributed,5.67,0.05,5.62,0.00
1000,161,10,pattern distributed,1.63,0.06,1.56,0.01
1000,161,100,pattern distributed,4.66,0.05,4.60,0.01
1000,171,10,pattern distributed,1.73,0.05,1.68,0.01
1000,171,100,pattern distributed,5.95,0.05,5.90,0.01
1000,181,10,pattern distributed,1.78,0.05,1.73,0.01
1000,181,100,pattern distributed,5.93,0.06,5.87,0.01
1000,191,10,pattern distributed,1.78,0.06,1.72,0.01
1000,191,100,pattern distributed,5.30,0.06,5.23,0.01
1000,201,10,pattern distributed,1.76,0.05,1.71,0.01
1000,201,100,pattern distributed,7.15,0.08,7.06,0.01
1000,211,10,pattern distributed,1.86,0.06,1.80,0.01
1000,211,100,pattern distributed,7.18,0.07,7.10,0.01
1000,221,10,pattern distributed,1.90,0.08,1.81,0.01
1000,221,100,pattern distributed,6.47,0.05,6.42,0.01
1000,231,10,pattern distributed,1.90,0.05,1.84,0.01
1000,231,100,pattern distributed,7.15,0.05,7.10,0.01
1000,241,10,pattern distributed,1.89,0.06,1.82,0.01
1000,241,100,pattern distributed,7.41,0.05,7.35,0.01
1000,251,10,pattern distributed,1.88,0.07,1.80,0.01
1000,251,100,pattern distributed,7.18,0.07,7.10,0.01
1000,261,10,pattern distributed,1.88,0.05,1.82,0.01
1000,261,100,pattern distributed,8.06,0.05,8.00,0.01
1000,271,10,pattern distributed,1.88,0.07,1.81,0.01
1000,271,100,pattern distributed,7.45,0.04,7.41,0.01
1000,281,10,pattern distributed,1.86,0.06,1.80,0.01
1000,281,100,pattern distributed,8.22,0.12,8.10,0.01
1000,291,10,pattern distributed,1.99,0.07,1.91,0.01
1000,291,100,pattern distributed,8.61,0.06,8.54,0.01
1000,301,10,pattern distributed,1.95,0.05,1.89,0.01
1000,301,100,pattern distributed,8.69,0.05,8.63,0.01
1000,311,10,pattern distributed,1.89,0.05,1.83,0.01
1000,311,100,pattern distributed,8.69,0.05,8.63,0.01
1000,321,10,pattern distributed,2.39,0.05,2.34,0.01
1000,321,100,pattern distributed,9.41,0.06,9.34,0.01
1000,331,10,pattern distributed,1.98,0.04,1.93,0.01
1000,331,100,pattern distributed,9.52,0.05,9.47,0.01
1000,341,10,pattern distributed,1.95,0.06,1.89,0.01
1000,341,100,pattern distributed,9.81,0.05,9.75,0.01
1000,351,10,pattern distributed,1.78,0.05,1.72,0.01
1000,351,100,pattern distributed,10.82,0.04,10.77,0.01
1000,361,10,pattern distributed,2.01,0.06,1.95,0.01
1000,361,100,pattern distributed,10.26,0.06,10.20,0.01
1000,371,10,pattern distributed,1.98,0.04,1.93,0.01
1000,371,100,pattern distributed,10.34,0.05,10.28,0.01
1000,381,10,pattern distributed,2.02,0.05,1.96,0.01
1000,381,100,pattern distributed,9.90,0.06,9.84,0.01
1000,391,10,pattern distributed,2.05,0.05,1.99,0.01
1000,391,100,pattern distributed,11.01,0.05,10.95,0.01
1000,401,10,pattern distributed,1.85,0.06,1.79,0.01
1000,401,100,pattern distributed,11.50,0.10,11.39,0.01
1000,411,10,pattern distributed,2.04,0.08,1.95,0.01
1000,411,100,pattern distributed,10.28,0.06,10.22,0.01
1000,421,10,pattern distributed,2.03,0.05,1.96,0.01
1000,421,100,pattern distributed,11.59,0.05,11.53,0.01
1000,431,10,pattern distributed,2.07,0.08,1.99,0.01
1000,431,100,pattern distributed,10.57,0.05,10.51,0.01
1000,441,10,pattern distributed,2.01,0.05,1.95,0.01
1000,441,100,pattern distributed,11.76,0.05,11.70,0.01
1000,451,10,pattern distributed,2.30,0.08,2.22,0.01
1000,451,100,pattern distributed,10.28,0.05,10.22,0.01
1000,461,10,pattern distributed,1.86,0.05,1.80,0.01
1000,461,100,pattern distributed,12.42,0.04,12.37,0.01
1000,471,10,pattern distributed,2.04,0.05,1.98,0.01
1000,471,100,pattern distributed,11.66,0.05,11.60,0.01
1000,481,10,pattern distributed,2.22,0.11,2.10,0.01
1000,481,100,pattern distributed,13.09,0.05,13.03,0.01
1000,491,10,pattern distributed,2.08,0.06,2.02,0.01
1000,491,100,pattern distributed,13.21,0.06,13.14,0.01
1000,501,10,pattern distributed,2.04,0.05,1.97,0.01
1000,501,100,pattern distributed,12.09,0.05,12.03,0.01
1000,511,10,pattern distributed,2.53,0.13,2.39,0.01
1000,511,100,pattern distributed,12.03,0.06,11.96,0.01
1000,521,10,pattern distributed,2.10,0.06,2.03,0.01
1000,521,100,pattern distributed,13.92,0.08,13.83,0.01
1000,531,10,pattern distributed,2.05,0.08,1.96,0.01
1000,531,100,pattern distributed,14.45,0.06,14.38,0.01
1000,541,10,pattern distributed,2.05,0.05,1.98,0.01
1000,541,100,pattern distributed,14.44,0.05,14.38,0.01
1000,551,10,pattern distributed,1.89,0.05,1.83,0.01
1000,551,100,pattern distributed,14.54,0.04,14.48,0.01
1000,561,10,pattern distributed,2.03,0.06,1.96,0.01
1000,561,100,pattern distributed,14.65,0.08,14.55,0.01
1000,571,10,pattern distributed,2.07,0.06,2.00,0.01
1000,571,100,pattern distributed,14.60,0.05,14.54,0.01
1000,581,10,pattern distributed,1.99,0.04,1.93,0.01
1000,581,100,pattern distributed,14.01,0.05,13.95,0.01
1000,741,10,pattern distributed,2.02,0.08,1.93,0.01
1000,741,100,pattern distributed,17.27,0.08,17.17,0.01
1000,751,10,pattern distributed,1.75,0.08,1.65,0.01
1000,751,100,pattern distributed,16.81,0.05,16.75,0.01
1000,761,10,pattern distributed,1.88,0.06,1.80,0.02
1000,761,100,pattern distributed,17.78,0.08,17.68,0.02
1000,771,10,pattern distributed,1.77,0.04,1.71,0.01
1000,771,100,pattern distributed,18.74,0.07,18.65,0.02
1000,781,10,pattern distributed,2.06,0.05,1.99,0.02
1000,781,100,pattern distributed,18.69,0.05,18.62,0.01
1000,791,10,pattern distributed,1.82,0.04,1.76,0.01
1000,791,100,pattern distributed,17.14,0.04,17.08,0.01
1000,801,10,pattern distributed,1.65,0.05,1.59,0.02
1000,801,100,pattern distributed,19.60,0.07,19.52,0.01
1000,811,10,pattern distributed,2.02,0.08,1.93,0.02
1000,811,100,pattern distributed,17.66,0.05,17.60,0.01
1000,821,10,pattern distributed,1.85,0.05,1.79,0.02
1000,821,100,pattern distributed,19.99,0.04,19.93,0.02
