scenario,thread_per_block,block_per_grid,mean_time,std_time
large files 1 large patterns,4,4,1.1178036,0.020126477611345703
large files 1 large patterns,4,8,0.6629012,0.006477283949310848
large files 1 large patterns,4,16,0.4588108,0.006610229690411676
large files 1 large patterns,4,32,0.3545988,0.007442502090023228
large files 1 large patterns,4,64,0.313965,0.0130138821110382
large files 1 large patterns,4,128,0.261586,0.01049676771201497
large files 1 large patterns,4,256,0.2526916,0.008660957766898538
large files 1 large patterns,4,512,0.252139,0.007721830249364466
large files 1 large patterns,4,1024,0.25060859999999996,0.007110496427113926
large files 1 large patterns,4,2048,0.25194720000000004,0.009905292068384457
large files 1 large patterns,4,4096,0.2608556,0.006939585221034461
large files 1 large patterns,4,8192,0.2481328,0.015523155496225622
large files 1 large patterns,4,16384,0.2588706,0.00915752203600952
large files 1 large patterns,4,32768,0.25595239999999997,0.010363060968652074
large files 1 large patterns,4,65536,0.25040239999999997,0.004975756569608277
large files 1 large patterns,8,4,0.6899482000000001,0.02219466131663196
large files 1 large patterns,8,8,0.45627300000000004,0.004306966310525302
large files 1 large patterns,8,16,0.35743139999999995,0.006549605746913334
large files 1 large patterns,8,32,0.30262479999999997,0.010171877022457554
large files 1 large patterns,8,64,0.2717286,0.00996543953069807
large files 1 large patterns,8,128,0.25873939999999995,0.010423552304277078
large files 1 large patterns,8,256,0.2485338,0.009689236118497683
large files 1 large patterns,8,512,0.2464134,0.005197804174841532
large files 1 large patterns,8,1024,0.24615360000000003,0.0027184122277535507
large files 1 large patterns,8,2048,0.24616200000000005,0.010376944058825792
large files 1 large patterns,8,4096,0.2480912,0.0072872470083015645
large files 1 large patterns,8,8192,0.24615039999999996,0.00524690410051489
large files 1 large patterns,8,16384,0.2469592,0.010536916387634477
large files 1 large patterns,8,32768,0.24445740000000002,0.008838817468417358
large files 1 large patterns,8,65536,0.2531608,0.007315181293720603
large files 1 large patterns,16,4,0.44696320000000006,0.008338251552933619
large files 1 large patterns,16,8,0.34859660000000003,0.011590391134038591
large files 1 large patterns,16,16,0.28731100000000004,0.014127518083513469
large files 1 large patterns,16,32,0.268464,0.01124577245012542
large files 1 large patterns,16,64,0.25566520000000004,0.00708913282143873
large files 1 large patterns,16,128,0.25329619999999997,0.008102057007945574
large files 1 large patterns,16,256,0.249066,0.01236375253715473
large files 1 large patterns,16,512,0.24225499999999997,0.005496192827767227
large files 1 large patterns,16,1024,0.2533164,0.004225692445031946
large files 1 large patterns,16,2048,0.2482506,0.006358434354461795
large files 1 large patterns,16,4096,0.25093479999999996,0.010470946688814731
large files 1 large patterns,16,8192,0.2425726,0.006742532806001022
large files 1 large patterns,16,16384,0.241836,0.008172677480483368
large files 1 large patterns,16,32768,0.2512864,0.004151964527786822
large files 1 large patterns,16,65536,0.2431418,0.006773624654496286
large files 1 large patterns,32,4,0.3558228,0.004838276858552013
large files 1 large patterns,32,8,0.29871939999999997,0.006937452316232524
large files 1 large patterns,32,16,0.2612312,0.006198258961998926
large files 1 large patterns,32,32,0.25789439999999997,0.012364264209406076
large files 1 large patterns,32,64,0.24963039999999997,0.009548615283903739
large files 1 large patterns,32,128,0.2416968,0.008044111172777261
