scenario,nodes,mean_time,std_time
large files 1 large patterns,1,0.105382,0.0030864580347058027
large files 1 large patterns,2,0.2027262,0.00638388600775421
large files 1 large patterns,4,0.2436808,0.004391487784339155
large files 1 large patterns,8,0.2612302,0.01191094651822432
large files 1 large patterns,16,0.2867574,0.01936242154896955
large files 1 large patterns,32,0.3273812,0.010354451649411471
large files 1 large patterns,64,0.3315764,0.00953009730485477
large files 100 small patterns,1,0.10570920000000002,0.0031092428274420735
large files 100 small patterns,2,0.23266779999999998,0.047054733553171885
large files 100 small patterns,4,0.2732792,0.007603981520230049
large files 100 small patterns,8,0.28690200000000005,0.0024030230960188576
large files 100 small patterns,16,0.2942766,0.008371076456466033
large files 100 small patterns,32,0.3674708,0.0064796019445641844
large files 100 small patterns,64,0.6563036,0.2819037122916972
small files 10 large patterns,1,0.107066,0.0025847139106678707
small files 10 large patterns,2,0.1765212,0.004649241546747168
small files 10 large patterns,4,0.259085,0.00872701965163365
small files 10 large patterns,8,0.26722060000000003,0.006514307226405588
small files 10 large patterns,16,0.2734482,0.016459592442098925
small files 10 large patterns,32,0.31885620000000003,0.02275563511220902
small files 10 large patterns,64,0.30613039999999997,0.014961380626132071
small files 1000 small patterns,1,0.1058216,0.006481079218772132
small files 1000 small patterns,2,0.2099378,0.012867383998311393
small files 1000 small patterns,4,0.2617334,0.002343390500962229
small files 1000 small patterns,8,0.27585439999999994,0.011827227056246111
small files 1000 small patterns,16,0.2874108,0.009380443835981309
small files 1000 small patterns,32,0.3880108,0.07991413455803671
small files 1000 small patterns,64,0.4173624,0.07465412562102648
